,market,code,name,subtype,type,color,cptype
0,DCE,V,PVC,非金属建材,工业品,#9F353A,ppi
1,DCE,B,豆二,油脂油料,农产品,#0F4C3A,cpi
2,DCE,M,豆粕,油脂油料,农产品,#4F726C,cpi
3,DCE,A,豆一,油脂油料,农产品,#268785,cpi
4,DCE,Y,豆油,油脂油料,农产品,#66BAB7,cpi
5,DCE,JD,鸡蛋,农副产品,农产品,#00AA90,cpi
6,DCE,JM,焦煤,煤焦钢矿,能源,#3A8FB7,ppi
7,DCE,J,焦炭,煤焦钢矿,能源,#7DB9DE,ppi
8,DCE,BB,胶合板,非金属建材,工业品,#A8D8B9,ppi
9,DCE,PP,聚丙烯,化工,工业品,#7BA23F,ppi
10,DCE,L,塑料,化工,工业品,#E87A90,ppi
11,DCE,I,铁矿石,煤焦钢矿,黑色金属,#8A6BBE,ppi
12,DCE,FB,纤维板,非金属建材,工业品,#F8C3CD,ppi
13,DCE,C,玉米,谷物,农产品,#00896C,cpi
14,DCE,CS,玉米淀粉,农副产品,农产品,#5DAC81,cpi
15,DCE,P,棕榈油,油脂油料,农产品,#A8D8B9,cpi
16,SHF,IM,IM(仿真),有色,金属,#F05E1C,ppi
17,SHF,AU,沪金,贵金属,金属,#FB9966,ppi
18,SHF,AL,沪铝,有色,金属,#B35C37,ppi
19,SHF,NI,沪镍,有色,金属,#B47157,ppi
20,SHF,PB,沪铅,有色,金属,#E1A679,ppi
21,SHF,CU,沪铜,有色,金属,#E98B2A,ppi
22,SHF,SN,沪锡,有色,金属,#CA7A2C,ppi
23,SHF,ZN,沪锌,有色,金属,#FFB11B,ppi
24,SHF,AG,沪银,贵金属,金属,#FFC408,ppi
25,SHF,BU,沥青,化工,工业品,#9F353A,ppi
26,SHF,RB,螺纹钢,煤焦钢矿,黑色金属,#8A6BBE,ppi
27,SHF,FU,燃油,能源,能源,#3A8FB7,ppi
28,SHF,HC,热轧卷板,煤焦钢矿,黑色金属,#77428D,ppi
29,SHF,WR,线材,煤焦钢矿,黑色金属,#B28FCE,ppi
30,SHF,RU,橡胶,化工,工业品,#D0104C,ppi
31,CZC,TA,PTA,化工,工业品,#9F353A,ppi
32,CZC,SR,白糖,软商品,农产品,#0F4C3A,cpi
33,CZC,FG,玻璃,非金属建材,工业品,#D0104C,ppi
34,CZC,RM,菜粕,油脂油料,农产品,#4F726C,cpi
35,CZC,OI,菜油,油脂油料,农产品,#268785,cpi
36,CZC,RS,菜籽,油脂油料,农产品,#66BAB7,cpi
37,CZC,ZC,动力煤,能源,能源,#3A8FB7,ppi
38,CZC,SF,硅铁,煤焦钢矿,工业品,#8A6BBE,ppi
39,CZC,MA,甲醇,化工,工业品,#DB4D6D,ppi
40,CZC,JR,粳稻,谷物,农产品,#00AA90,cpi
41,CZC,SM,锰硅,煤焦钢矿,工业品,#E87A90,ppi
42,CZC,CY,棉纱,软商品,工业品,#F8C3CD,ppi
43,CZC,PM,普麦,谷物,农产品,#00896C,cpi
44,CZC,WH,强麦,谷物,农产品,#5DAC81,cpi
45,CZC,LR,晚籼稻,谷物,农产品,#A8D8B9,cpi
46,CZC,RI,早籼稻,谷物,农产品,#7BA23F,cpi
47,CZC,CF,郑棉,软商品,工业品,#DC9FB4,ppi